Weapon (Click for note),Right - 1H Light #1,Right - 1H Light #2,Right - 1H Heavy #1,Right - 1H Heavy #2,Right - 1H Light Running,Right - 1H Light Rolling,Right - 1H Light Backstep,Right - 1H Falling,Right - 1H Landing,Right - 1H Jumping,2H Light #1,2H Light #2,2H Heavy #1,2H Heavy #2,Right - 2H Light Running,Right - 2H Light Rolling,Right - 2H Light Backstep,Right - 2H Falling,Right - 2H Landing,Right - 2H Jumping,Chain 1 #1,Chain 1 #2,Chain 2 #1,Chain 2 #2,Chain Running,Chain Rolling,Chain Backstep,Chain Falling,Chain Landing,Chain Jumping,Right - Powerstance - Light #1,Right - Powerstance - Light #2,Right - Powerstance - Heavy #1,Right - Powerstance - Heavy #2,Right - Powerstance - Light Running,Right - Powerstance - Light Rolling,Right - Powerstance - Light Backstep,Right - Powerstance - Falling,Right - Powerstance - Landing,Right - Powerstance - Jumping,Left - 1H Light #1,Left - 1H Light #2,Left - 1H Heavy #1,Left - 1H Heavy #2,Left - 1H Light Running,Left - 1H Light Rolling,Left - 1H Light Backstep,Left - 1H Falling,Left - 1H Landing,Left - 1H Jumping,Left - 2H Light,Left - 2H Heavy,Left - Powerstance - Light #1,Left - Powerstance - Light #2,Left - Powerstance - Heavy,Guard Break #1,Guard Break #2,Shield Poke 1 #1,Shield Poke 1 #2,Shield Poke 2 #1,Shield Poke 2 #2,Riposte,Guard Break Stab,Backstab
Dragonslayer Greatbow,96.14,106.26,141.68,146.74,18.98,18.98,18.98,41.75,41.75,41.75,120.12,132.77,177.10,183.37,23.71,23.71,23.71,52.17,52.17,52.17,33.65,37.19,49.59,51.36,26.57,26.57,26.57,58.44,58.44,58.44,24.04,26.57,35.42,36.69,18.98,18.98,18.98,41.75,41.75,41.75,103.83,114.76,153.01,158.48,20.49,20.49,20.49,45.08,45.08,45.08,32.43,35.85,25.96,28.69,38.25,19.23,19.23,31.25,34.53,46.05,47.69,25.30,25.30,25.30
Dragonslayer Spear,30.31,33.50,44.66,46.26,23.93,23.93,23.93,52.64,52.64,52.64,37.87,41.85,55.83,57.80,29.89,29.89,29.89,65.78,65.78,65.78,42.43,46.89,62.52,64.76,33.50,33.50,33.50,73.69,73.69,73.69,30.31,33.50,44.66,46.26,23.93,23.93,23.93,52.64,52.64,52.64,32.73,36.17,48.23,49.96,25.84,25.84,25.84,56.85,56.85,56.85,40.90,45.20,32.73,36.17,48.23,24.24,24.24,39.40,43.54,58.06,60.13,31.90,31.90,31.90
Dragonslayer's Crescent Axe,25.18,27.83,37.10,38.43,19.88,19.88,19.88,43.73,43.73,43.73,31.46,34.77,46.38,48.02,24.83,24.83,24.83,54.64,54.64,54.64,35.25,38.96,51.94,53.80,27.83,27.83,27.83,61.22,61.22,61.22,25.18,27.83,37.10,38.43,19.88,19.88,19.88,43.73,43.73,43.73,27.19,30.05,40.07,41.50,21.47,21.47,21.47,47.22,47.22,47.22,33.97,37.55,27.19,30.05,40.07,20.14,20.14,32.73,36.17,48.23,49.95,26.50,26.50,26.50
Drakeblood Greatsword,23.94,26.46,35.28,36.54,18.90,18.90,18.90,41.58,41.58,41.58,29.91,33.06,44.10,45.66,23.61,23.61,23.61,51.96,51.96,51.96,33.52,37.04,49.39,51.16,26.46,26.46,26.46,58.21,58.21,58.21,23.94,26.46,35.28,36.54,18.90,18.90,18.90,41.58,41.58,41.58,25.86,28.58,38.10,39.46,20.41,20.41,20.41,44.91,44.91,44.91,32.31,35.71,25.86,28.58,38.10,19.15,19.15,31.12,34.40,45.86,47.50,25.20,25.20,25.20
Drakekeeper's Great Hammer,34.58,38.22,50.96,52.78,27.30,27.30,27.30,60.06,60.06,60.06,43.21,47.76,63.70,65.96,34.11,34.11,34.11,75.06,75.06,75.06,48.41,53.51,71.34,73.89,38.22,38.22,38.22,84.08,84.08,84.08,34.58,38.22,50.96,52.78,27.30,27.30,27.30,60.06,60.06,60.06,37.35,41.28,55.04,57.00,29.48,29.48,29.48,64.86,64.86,64.86,46.66,51.58,37.35,41.28,55.04,27.66,27.66,44.95,49.69,66.25,68.61,36.40,36.40,36.40
Drakekeeper's Greataxe,33.92,37.49,49.98,51.77,26.78,26.78,26.78,58.91,58.91,58.91,42.38,46.84,62.48,64.69,33.45,33.45,33.45,73.61,73.61,73.61,47.48,52.48,69.97,72.47,37.49,37.49,37.49,82.47,82.47,82.47,33.92,37.49,49.98,51.77,26.78,26.78,26.78,58.91,58.91,58.91,36.63,40.48,53.98,55.91,28.92,28.92,28.92,63.62,63.62,63.62,45.77,50.59,36.63,40.48,53.98,27.13,27.13,44.09,48.73,64.97,67.29,35.70,35.70,35.70
Drakekeeper's Greatshield,25.94,28.67,38.22,39.59,20.48,20.48,20.48,45.05,45.05,45.05,32.41,35.82,47.78,49.47,25.58,25.58,25.58,56.29,56.29,56.29,36.31,40.13,53.51,55.42,28.67,28.67,28.67,63.06,63.06,63.06,25.94,28.67,38.22,39.59,20.48,20.48,20.48,45.05,45.05,45.05,28.01,30.96,41.28,42.75,22.11,22.11,22.11,48.65,48.65,48.65,35.00,38.68,28.01,30.96,41.28,20.75,20.75,33.72,37.26,49.69,51.46,27.30,27.30,27.30
Drakekeeper's Shield,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,29.56,32.67,43.58,45.12,23.33,23.33,23.33,51.34,51.34,51.34,33.12,36.60,48.80,50.55,26.15,26.15,26.15,57.52,57.52,57.52,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,25.55,28.24,37.65,38.99,20.17,20.17,20.17,44.37,44.37,44.37,31.92,35.28,25.55,28.24,37.65,18.92,18.92,30.75,33.99,45.32,46.94,24.90,24.90,24.90
Drakekeeper's Sword,22.52,24.89,33.18,34.37,17.78,17.78,17.78,39.11,39.11,39.11,28.13,31.09,41.48,42.94,22.21,22.21,22.21,48.87,48.87,48.87,31.52,34.84,46.45,48.11,24.89,24.89,24.89,54.75,54.75,54.75,22.52,24.89,33.18,34.37,17.78,17.78,17.78,39.11,39.11,39.11,24.32,26.88,35.83,37.11,19.20,19.20,19.20,42.23,42.23,42.23,30.38,33.58,24.32,26.88,35.83,18.01,18.01,29.27,32.35,43.13,44.67,23.70,23.70,23.70
Drakekeeper's Ultra Greatsword,29.07,32.13,42.84,44.37,22.95,22.95,22.95,50.49,50.49,50.49,36.32,40.15,53.55,55.45,28.67,28.67,28.67,63.10,63.10,63.10,40.70,44.98,59.98,62.12,32.13,32.13,32.13,70.69,70.69,70.69,29.07,32.13,42.84,44.37,22.95,22.95,22.95,50.49,50.49,50.49,31.40,34.70,46.27,47.92,24.79,24.79,24.79,54.53,54.53,54.53,39.23,43.36,31.40,34.70,46.27,23.26,23.26,37.79,41.77,55.69,57.68,30.60,30.60,30.60
Drakekeeper's Warpick,30.78,34.02,45.36,46.98,24.30,24.30,24.30,53.46,53.46,53.46,38.46,42.51,56.70,58.71,30.36,30.36,30.36,66.81,66.81,66.81,43.09,47.63,63.50,65.77,34.02,34.02,34.02,74.84,74.84,74.84,30.78,34.02,45.36,46.98,24.30,24.30,24.30,53.46,53.46,53.46,33.24,36.74,48.99,50.74,26.24,26.24,26.24,57.74,57.74,57.74,41.54,45.91,33.24,36.74,48.99,24.62,24.62,40.01,44.23,58.97,61.07,32.40,32.40,32.40
Drakewing Ultra Greatsword,28.22,31.19,66.83,73.51,22.28,22.28,29.70,59.40,59.40,59.40,35.27,38.98,83.53,91.88,27.84,27.84,37.13,74.25,74.25,74.25,35.27,38.98,83.53,91.88,27.84,27.84,37.13,74.25,74.25,74.25,35.27,38.98,83.53,91.88,27.84,27.84,37.13,74.25,74.25,74.25,28.22,31.19,66.83,73.51,22.28,22.28,29.70,59.40,59.40,59.40,38.98,55.69,28.22,31.19,44.55,29.70,29.70,29.70,29.70,29.70,29.70,29.70,29.70,29.70
Drangleic Shield,22.42,24.78,33.04,34.22,17.70,17.70,17.70,38.94,38.94,38.94,28.01,30.96,41.30,42.76,22.11,22.11,22.11,48.66,48.66,48.66,31.39,34.69,46.26,47.91,24.78,24.78,24.78,54.52,54.52,54.52,22.42,24.78,33.04,34.22,17.70,17.70,17.70,38.94,38.94,38.94,24.21,26.76,35.68,36.96,19.12,19.12,19.12,42.06,42.06,42.06,30.26,33.44,24.21,26.76,35.68,17.94,17.94,29.15,32.21,42.95,44.49,23.60,23.60,23.60
Drangleic Sword,27.27,30.14,40.18,41.62,21.53,21.53,21.53,47.36,47.36,47.36,34.07,37.65,50.23,52.00,26.89,26.89,26.89,59.18,59.18,59.18,38.17,42.19,56.25,58.26,30.14,30.14,30.14,66.30,66.30,66.30,27.27,30.14,40.18,41.62,21.53,21.53,21.53,47.36,47.36,47.36,29.45,32.55,43.39,44.94,23.25,23.25,23.25,51.14,51.14,51.14,36.79,40.67,29.45,32.55,43.39,21.81,21.81,35.44,39.18,52.23,54.10,28.70,28.70,28.70
Eleum Loyce,22.99,25.41,33.88,35.09,18.15,18.15,18.15,39.93,39.93,39.93,28.73,31.75,42.35,43.85,22.68,22.68,22.68,49.90,49.90,49.90,32.19,35.57,47.43,49.13,25.41,25.41,25.41,55.90,55.90,55.90,22.99,25.41,33.88,35.09,18.15,18.15,18.15,39.93,39.93,39.93,24.83,27.44,36.59,37.90,19.60,19.60,19.60,43.12,43.12,43.12,31.02,34.29,24.83,27.44,36.59,18.39,18.39,29.89,33.03,44.04,45.62,24.20,24.20,24.20
Espada Ropera,20.62,22.79,30.38,31.47,16.28,16.28,16.28,35.81,35.81,35.81,25.76,28.47,37.98,39.32,20.33,20.33,20.33,44.75,44.75,44.75,28.86,31.90,42.53,44.05,22.79,22.79,22.79,50.13,50.13,50.13,20.62,22.79,30.38,31.47,16.28,16.28,16.28,35.81,35.81,35.81,22.26,24.61,32.81,33.98,17.58,17.58,17.58,38.67,38.67,38.67,27.82,30.75,22.26,24.61,32.81,16.49,16.49,26.80,29.62,39.49,40.90,21.70,21.70,21.70
Estoc,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,29.56,32.67,43.58,45.12,23.33,23.33,23.33,51.34,51.34,51.34,33.12,36.60,48.80,50.55,26.15,26.15,26.15,57.52,57.52,57.52,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,25.55,28.24,37.65,38.99,20.17,20.17,20.17,44.37,44.37,44.37,31.92,35.28,25.55,28.24,37.65,18.92,18.92,30.75,33.99,45.32,46.94,24.90,24.90,24.90
Falchion,21.00,23.21,30.94,32.05,16.58,16.58,16.58,36.47,36.47,36.47,26.23,29.00,38.68,40.05,20.71,20.71,20.71,45.57,45.57,45.57,29.39,32.49,43.32,44.86,23.21,23.21,23.21,51.05,51.05,51.05,21.00,23.21,30.94,32.05,16.58,16.58,16.58,36.47,36.47,36.47,22.67,25.06,33.42,34.61,17.90,17.90,17.90,39.38,39.38,39.38,28.33,31.32,22.67,25.06,33.42,16.80,16.80,27.29,30.17,40.22,41.66,22.10,22.10,22.10
Fists,14.35,15.86,21.14,21.90,11.33,11.33,11.33,24.92,24.92,24.92,17.92,19.81,26.43,27.36,14.15,14.15,14.15,31.14,31.14,31.14,20.08,22.20,29.60,30.65,15.86,15.86,15.86,34.88,34.88,34.88,14.35,15.86,21.14,21.90,11.33,11.33,11.33,24.92,24.92,24.92,15.49,17.12,22.83,23.65,12.23,12.23,12.23,26.91,26.91,26.91,19.36,21.40,15.49,17.12,22.83,11.48,11.48,18.65,20.61,27.48,28.46,15.10,15.10,15.10
Flamberge,29.17,32.24,42.98,44.52,23.03,23.03,23.03,50.66,50.66,50.66,36.44,40.28,53.73,55.63,28.77,28.77,28.77,63.30,63.30,63.30,40.83,45.13,60.17,62.32,32.24,32.24,32.24,70.92,70.92,70.92,29.17,32.24,42.98,44.52,23.03,23.03,23.03,50.66,50.66,50.66,31.50,34.81,46.42,48.08,24.87,24.87,24.87,54.71,54.71,54.71,39.36,43.50,31.50,34.81,46.42,23.33,23.33,37.91,41.91,55.87,57.87,30.70,30.70,30.70
Foot Soldier Shield,14.44,15.96,21.28,22.04,11.40,11.40,11.40,25.08,25.08,25.08,18.04,19.94,26.60,27.54,14.24,14.24,14.24,31.34,31.34,31.34,20.22,22.34,29.79,30.86,15.96,15.96,15.96,35.11,35.11,35.11,14.44,15.96,21.28,22.04,11.40,11.40,11.40,25.08,25.08,25.08,15.60,17.24,22.98,23.80,12.31,12.31,12.31,27.09,27.09,27.09,19.49,21.54,15.60,17.24,22.98,11.55,11.55,18.77,20.75,27.66,28.65,15.20,15.20,15.20
Foot Soldier Sword,19.29,21.32,28.42,29.44,15.23,15.23,15.23,33.50,33.50,33.50,24.10,26.63,35.53,36.78,19.02,19.02,19.02,41.86,41.86,41.86,27.00,29.84,39.79,41.21,21.32,21.32,21.32,46.89,46.89,46.89,19.29,21.32,28.42,29.44,15.23,15.23,15.23,33.50,33.50,33.50,20.83,23.02,30.69,31.79,16.44,16.44,16.44,36.17,36.17,36.17,26.02,28.77,20.83,23.02,30.69,15.43,15.43,25.07,27.71,36.95,38.27,20.30,20.30,20.30
Full Moon Sickle,31.54,34.86,46.48,48.14,24.90,24.90,24.90,54.78,54.78,54.78,39.41,43.56,58.10,60.16,31.11,31.11,31.11,68.46,68.46,68.46,44.16,48.80,65.07,67.40,34.86,34.86,34.86,76.69,76.69,76.69,31.54,34.86,46.48,48.14,24.90,24.90,24.90,54.78,54.78,54.78,34.06,37.65,50.20,51.99,26.89,26.89,26.89,59.16,59.16,59.16,42.56,47.04,34.06,37.65,50.20,25.23,25.23,41.00,45.32,60.42,62.58,33.20,33.20,33.20
Fume Sword,25.37,28.04,37.38,38.72,20.03,20.03,20.03,44.06,44.06,44.06,31.69,35.03,46.73,48.38,25.02,25.02,25.02,55.06,55.06,55.06,35.51,39.25,52.33,54.20,28.04,28.04,28.04,61.68,61.68,61.68,25.37,28.04,37.38,38.72,20.03,20.03,20.03,44.06,44.06,44.06,27.39,30.28,40.37,41.81,21.63,21.63,21.63,47.58,47.58,47.58,34.23,37.83,27.39,30.28,40.37,20.29,20.29,32.97,36.45,48.59,50.33,26.70,26.70,26.70
Fume Ultra Greatsword,33.54,37.07,49.42,51.19,26.48,26.48,26.48,58.25,58.25,58.25,41.90,46.31,61.78,63.96,33.08,33.08,33.08,72.79,72.79,72.79,46.95,51.89,69.19,71.66,37.07,37.07,37.07,81.54,81.54,81.54,33.54,37.07,49.42,51.19,26.48,26.48,26.48,58.25,58.25,58.25,36.22,40.03,53.37,55.28,28.59,28.59,28.59,62.90,62.90,62.90,45.25,50.02,36.22,40.03,53.37,26.83,26.83,43.60,48.18,64.25,66.54,35.30,35.30,35.30
Gargoyle Bident,25.27,27.93,37.24,38.57,19.95,19.95,19.95,43.89,43.89,43.89,31.57,34.90,46.55,48.20,24.92,24.92,24.92,54.85,54.85,54.85,35.38,39.10,52.14,54.00,27.93,27.93,27.93,61.45,61.45,61.45,25.27,27.93,37.24,38.57,19.95,19.95,19.95,43.89,43.89,43.89,27.29,30.16,40.22,41.66,21.55,21.55,21.55,47.40,47.40,47.40,34.10,37.69,27.29,30.16,40.22,20.22,20.22,32.85,36.31,48.41,50.14,26.60,26.60,26.60
Giant Stone Axe,36.77,40.64,54.18,56.12,29.03,29.03,29.03,63.86,63.86,63.86,45.94,50.77,67.73,70.12,36.26,36.26,36.26,79.80,79.80,79.80,51.47,56.89,75.85,78.56,40.64,40.64,40.64,89.40,89.40,89.40,36.77,40.64,54.18,56.12,29.03,29.03,29.03,63.86,63.86,63.86,39.71,43.89,58.51,60.60,31.35,31.35,31.35,68.96,68.96,68.96,49.61,54.84,39.71,43.89,58.51,29.41,29.41,47.79,52.83,70.43,72.95,38.70,38.70,38.70
Giant Warrior Club,35.53,39.27,52.36,54.23,28.05,28.05,28.05,61.71,61.71,61.71,44.39,49.07,65.45,67.77,35.04,35.04,35.04,77.12,77.12,77.12,49.74,54.98,73.30,75.92,39.27,39.27,39.27,86.39,86.39,86.39,35.53,39.27,52.36,54.23,28.05,28.05,28.05,61.71,61.71,61.71,38.37,42.41,56.55,58.57,30.29,30.29,30.29,66.65,66.65,66.65,47.95,53.00,38.37,42.41,56.55,28.42,28.42,46.19,51.05,68.07,70.50,37.40,37.40,37.40
Golden Falcon Shield,16.44,18.17,24.22,25.09,12.98,12.98,12.98,28.55,28.55,28.55,20.54,22.70,30.28,31.35,16.21,16.21,16.21,35.67,35.67,35.67,23.01,25.43,33.91,35.12,18.17,18.17,18.17,39.96,39.96,39.96,16.44,18.17,24.22,25.09,12.98,12.98,12.98,28.55,28.55,28.55,17.75,19.62,26.16,27.09,14.01,14.01,14.01,30.83,30.83,30.83,22.18,24.51,17.75,19.62,26.16,13.15,13.15,21.37,23.61,31.49,32.61,17.30,17.30,17.30
Golden Wing Shield,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,28.84,31.88,42.53,44.03,22.77,22.77,22.77,50.11,50.11,50.11,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,24.93,27.56,36.74,38.05,19.68,19.68,19.68,43.30,43.30,43.30,31.15,34.43,24.93,27.56,36.74,18.47,18.47,30.01,33.17,44.23,45.81,24.30,24.30,24.30
Grand Lance,30.59,33.81,45.08,46.69,26.08,24.15,24.15,53.13,53.13,53.13,38.22,42.25,56.35,58.35,32.59,30.17,30.17,66.40,66.40,66.40,42.83,47.33,63.11,65.37,36.51,33.81,33.81,74.38,74.38,74.38,30.59,33.81,45.08,46.69,26.08,24.15,24.15,53.13,53.13,53.13,33.04,36.51,48.69,50.43,28.14,26.08,26.08,57.38,57.38,57.38,41.28,45.63,33.04,36.51,48.69,24.47,24.47,39.77,43.95,58.60,60.70,32.20,32.20,32.20
Grand Spirit Tree Shield,22.99,25.41,33.88,35.09,18.15,18.15,18.15,39.93,39.93,39.93,28.73,31.75,42.35,43.85,22.68,22.68,22.68,49.90,49.90,49.90,32.19,35.57,47.43,49.13,25.41,25.41,25.41,55.90,55.90,55.90,22.99,25.41,33.88,35.09,18.15,18.15,18.15,39.93,39.93,39.93,24.83,27.44,36.59,37.90,19.60,19.60,19.60,43.12,43.12,43.12,31.02,34.29,24.83,27.44,36.59,18.39,18.39,29.89,33.03,44.04,45.62,24.20,24.20,24.20
Great Club,33.73,37.28,49.70,51.48,26.63,26.63,26.63,58.58,58.58,58.58,42.14,46.58,62.13,64.33,33.26,33.26,33.26,73.20,73.20,73.20,47.22,52.19,69.58,72.07,37.28,37.28,37.28,82.01,82.01,82.01,33.73,37.28,49.70,51.48,26.63,26.63,26.63,58.58,58.58,58.58,36.42,40.26,53.68,55.59,28.76,28.76,28.76,63.26,63.26,63.26,45.51,50.30,36.42,40.26,53.68,26.98,26.98,43.84,48.46,64.61,66.92,35.50,35.50,35.50
Great Machete,26.41,29.19,38.92,40.31,20.85,20.85,20.85,45.87,45.87,45.87,33.00,36.47,48.65,50.37,26.05,26.05,26.05,57.32,57.32,57.32,36.97,40.87,54.49,56.43,29.19,29.19,29.19,64.22,64.22,64.22,26.41,29.19,38.92,40.31,20.85,20.85,20.85,45.87,45.87,45.87,28.52,31.53,42.03,43.53,22.52,22.52,22.52,49.54,49.54,49.54,35.64,39.39,28.52,31.53,42.03,21.13,21.13,34.33,37.95,50.60,52.40,27.80,27.80,27.80
Great Scythe,27.84,30.77,41.02,42.49,21.98,21.98,21.98,48.35,48.35,48.35,34.78,38.44,51.28,53.09,27.45,27.45,27.45,60.42,60.42,60.42,38.97,43.07,57.43,59.48,30.77,30.77,30.77,67.68,67.68,67.68,27.84,30.77,41.02,42.49,21.98,21.98,21.98,48.35,48.35,48.35,30.06,33.23,44.30,45.88,23.73,23.73,23.73,52.21,52.21,52.21,37.56,41.52,30.06,33.23,44.30,22.27,22.27,36.19,39.99,53.33,55.23,29.30,29.30,29.30
Greataxe,34.20,37.80,50.40,52.20,27.00,27.00,27.00,59.40,59.40,59.40,42.73,47.23,63.00,65.23,33.73,33.73,33.73,74.23,74.23,74.23,47.88,52.92,70.56,73.08,37.80,37.80,37.80,83.16,83.16,83.16,34.20,37.80,50.40,52.20,27.00,27.00,27.00,59.40,59.40,59.40,36.94,40.82,54.43,56.38,29.16,29.16,29.16,64.15,64.15,64.15,46.15,51.01,36.94,40.82,54.43,27.36,27.36,44.46,49.14,65.52,67.86,36.00,36.00,36.00
Greatshield of Glory,28.69,31.71,42.28,43.79,22.65,22.65,22.65,49.83,49.83,49.83,35.85,39.62,52.85,54.72,28.30,28.30,28.30,62.27,62.27,62.27,40.17,44.39,59.19,61.31,31.71,31.71,31.71,69.76,69.76,69.76,28.69,31.71,42.28,43.79,22.65,22.65,22.65,49.83,49.83,49.83,30.99,34.25,45.66,47.29,24.46,24.46,24.46,53.82,53.82,53.82,38.72,42.79,30.99,34.25,45.66,22.95,22.95,37.30,41.22,54.96,56.93,30.20,30.20,30.20
Greatsword,34.01,37.59,50.12,51.91,26.85,26.85,26.85,59.07,59.07,59.07,42.49,46.97,62.65,64.87,33.54,33.54,33.54,73.82,73.82,73.82,47.61,52.63,70.17,72.67,37.59,37.59,37.59,82.70,82.70,82.70,34.01,37.59,50.12,51.91,26.85,26.85,26.85,59.07,59.07,59.07,36.73,40.60,54.13,56.06,29.00,29.00,29.00,63.80,63.80,63.80,45.90,50.73,36.73,40.60,54.13,27.21,27.21,44.21,48.87,65.16,67.48,35.80,35.80,35.80
Greatsword of the Forlorn,28.79,31.82,42.42,43.94,22.73,22.73,22.73,50.00,50.00,50.00,35.97,39.75,53.03,54.90,28.39,28.39,28.39,62.48,62.48,62.48,40.30,44.54,59.39,61.51,31.82,31.82,31.82,69.99,69.99,69.99,28.79,31.82,42.42,43.94,22.73,22.73,22.73,50.00,50.00,50.00,31.09,34.36,45.81,47.45,24.54,24.54,24.54,53.99,53.99,53.99,38.84,42.94,31.09,34.36,45.81,23.03,23.03,37.42,41.36,55.15,57.12,30.30,30.30,30.30
Gyrm Axe,29.83,32.97,43.96,45.53,23.55,23.55,23.55,51.81,51.81,51.81,37.27,41.20,54.95,56.90,29.42,29.42,29.42,64.75,64.75,64.75,41.76,46.16,61.54,63.74,32.97,32.97,32.97,72.53,72.53,72.53,29.83,32.97,43.96,45.53,23.55,23.55,23.55,51.81,51.81,51.81,32.22,35.61,47.48,49.17,25.43,25.43,25.43,55.95,55.95,55.95,40.25,44.49,32.22,35.61,47.48,23.86,23.86,38.78,42.86,57.15,59.19,31.40,31.40,31.40
Gyrm Great Hammer,35.25,38.96,51.94,53.80,27.83,27.83,27.83,61.22,61.22,61.22,44.04,48.68,64.93,67.23,34.76,34.76,34.76,76.50,76.50,76.50,49.34,54.54,72.72,75.31,38.96,38.96,38.96,85.70,85.70,85.70,35.25,38.96,51.94,53.80,27.83,27.83,27.83,61.22,61.22,61.22,38.06,42.07,56.10,58.10,30.05,30.05,30.05,66.11,66.11,66.11,47.56,52.57,38.06,42.07,56.10,28.20,28.20,45.82,50.64,67.52,69.93,37.10,37.10,37.10
Gyrm Greataxe,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,37.39,41.33,55.13,57.08,29.52,29.52,29.52,64.95,64.95,64.95,41.90,46.31,61.74,63.95,33.08,33.08,33.08,72.77,72.77,72.77,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,40.38,44.64,32.32,35.72,47.63,23.94,23.94,38.90,43.00,57.33,59.38,31.50,31.50,31.50
Gyrm Greatshield,26.70,29.51,39.34,40.75,21.08,21.08,21.08,46.37,46.37,46.37,33.35,36.87,49.18,50.92,26.33,26.33,26.33,57.94,57.94,57.94,37.37,41.31,55.08,57.04,29.51,29.51,29.51,64.91,64.91,64.91,26.70,29.51,39.34,40.75,21.08,21.08,21.08,46.37,46.37,46.37,28.83,31.87,42.49,44.00,22.76,22.76,22.76,50.07,50.07,50.07,36.02,39.82,28.83,31.87,42.49,21.36,21.36,34.70,38.36,51.14,52.97,28.10,28.10,28.10
Halberd,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,37.39,41.33,55.13,57.08,29.52,29.52,29.52,64.95,64.95,64.95,41.90,46.31,61.74,63.95,33.08,33.08,33.08,72.77,72.77,72.77,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,40.38,44.64,32.32,35.72,47.63,23.94,23.94,38.90,43.00,57.33,59.38,31.50,31.50,31.50
Hand Axe,21.09,23.31,31.08,32.19,16.65,16.65,16.65,36.63,36.63,36.63,26.35,29.13,38.85,40.23,20.80,20.80,20.80,45.78,45.78,45.78,29.53,32.63,43.51,45.07,23.31,23.31,23.31,51.28,51.28,51.28,21.09,23.31,31.08,32.19,16.65,16.65,16.65,36.63,36.63,36.63,22.78,25.17,33.57,34.77,17.98,17.98,17.98,39.56,39.56,39.56,28.46,31.46,22.78,25.17,33.57,16.87,16.87,27.42,30.30,40.40,41.85,22.20,22.20,22.20
Handmaid's Ladle,16.44,18.17,24.22,25.09,12.98,12.98,12.98,28.55,28.55,28.55,20.54,22.70,30.28,31.35,16.21,16.21,16.21,35.67,35.67,35.67,23.01,25.43,33.91,35.12,18.17,18.17,18.17,39.96,39.96,39.96,16.44,18.17,24.22,25.09,12.98,12.98,12.98,28.55,28.55,28.55,17.75,19.62,26.16,27.09,14.01,14.01,14.01,30.83,30.83,30.83,22.18,24.51,17.75,19.62,26.16,13.15,13.15,21.37,23.61,31.49,32.61,17.30,17.30,17.30
Havel's Greatshield,30.12,33.29,44.38,45.97,23.78,23.78,23.78,52.31,52.31,52.31,37.63,41.59,55.48,57.44,29.70,29.70,29.70,65.37,65.37,65.37,42.16,46.60,62.13,64.35,33.29,33.29,33.29,73.23,73.23,73.23,30.12,33.29,44.38,45.97,23.78,23.78,23.78,52.31,52.31,52.31,32.52,35.95,47.93,49.64,25.68,25.68,25.68,56.49,56.49,56.49,40.64,44.92,32.52,35.95,47.93,24.09,24.09,39.15,43.27,57.69,59.75,31.70,31.70,31.70
Heavy Crossbow,45.13,49.88,66.50,68.88,17.63,17.63,17.63,38.78,38.78,38.78,56.38,62.32,83.13,86.07,22.02,22.02,22.02,48.46,48.46,48.46,31.26,34.55,46.06,47.71,24.68,24.68,24.68,54.29,54.29,54.29,22.33,24.68,32.90,34.08,17.63,17.63,17.63,38.78,38.78,38.78,48.74,53.87,71.82,74.39,19.04,19.04,19.04,41.88,41.88,41.88,30.13,33.30,24.11,26.65,35.53,17.86,17.86,29.02,32.08,42.77,44.30,23.50,23.50,23.50
Heide Greatlance,30.40,33.60,44.80,46.40,25.92,24.00,24.00,52.80,52.80,52.80,37.98,41.98,56.00,57.98,32.38,29.98,29.98,65.98,65.98,65.98,42.56,47.04,62.72,64.96,36.29,33.60,33.60,73.92,73.92,73.92,30.40,33.60,44.80,46.40,25.92,24.00,24.00,52.80,52.80,52.80,32.83,36.29,48.38,50.11,27.97,25.92,25.92,57.02,57.02,57.02,41.02,45.34,32.83,36.29,48.38,24.32,24.32,39.52,43.68,58.24,60.32,32.00,32.00,32.00
